"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2024","492.21","487.61","492.88","487.52","24.35M","1.28%"
"04/11/2024","486.01","486.82","489.38","484.25","23.29M","-0.29%"
"01/11/2024","487.43","485.50","490.75","485.20","33.66M","0.74%"
"31/10/2024","483.85","492.38","492.43","483.75","41.25M","-2.52%"
"30/10/2024","496.38","499.39","500.35","495.89","29.76M","-0.76%"
"29/10/2024","500.16","495.72","501.35","493.85","28.01M","0.96%"
"28/10/2024","495.40","498.46","498.52","495.10","20.48M","0.02%"
"25/10/2024","495.32","495.14","500.28","494.43","38.76M","0.61%"
"24/10/2024","492.32","492.11","493.00","489.44","22.02M","0.81%"
"23/10/2024","488.36","493.59","494.25","485.05","39.35M","-1.53%"
"22/10/2024","495.96","492.73","497.45","491.97","26.69M","0.11%"
"21/10/2024","495.42","493.25","496.23","491.31","30.34M","0.19%"
"18/10/2024","494.47","494.06","495.57","493.30","25.34M","0.66%"
"17/10/2024","491.25","496.44","496.49","491.19","27.21M","0.07%"
"16/10/2024","490.91","491.18","491.69","487.57","23.00M","0.01%"
"15/10/2024","490.85","497.83","498.50","488.68","34.78M","-1.34%"
"14/10/2024","497.50","495.77","498.83","495.26","26.06M","0.84%"
"11/10/2024","493.36","490.74","494.39","490.17","20.64M","0.16%"
"10/10/2024","492.59","490.85","494.47","489.53","25.75M","-0.11%"
"09/10/2024","493.15","489.00","493.73","487.95","24.99M","0.79%"
"08/10/2024","489.30","484.66","489.99","483.85","28.27M","1.49%"
"07/10/2024","482.10","485.39","486.57","480.87","24.98M","-1.07%"
"04/10/2024","487.32","487.45","487.88","482.39","30.74M","1.19%"
"03/10/2024","481.59","479.74","484.55","478.99","25.34M","-0.07%"
"02/10/2024","481.95","480.36","483.88","477.72","23.74M","0.14%"
"01/10/2024","481.27","487.70","488.00","477.40","42.74M","-1.39%"
